2023	GSE225383	10.1093/nar/gkad522	Mutation signature filtering enables high-fidelity RNA structure probing at all four nucleobases with DMS.
2023	PRJNA936272	10.1128/jvi.00635-23	The Highly Conserved Stem-Loop II Motif Is Dispensable for SARS-CoV-2.
2023	PRJEB60419	10.3390/ijms24097890	The Evaluation of SHAPE-MaP RNA Structure Probing Protocols Reveals a Novel Role of Mn<sup>2+</sup> in the Detection of 2'-OH Adducts.
2023	PRJNA929456	10.1038/s41467-023-43395-9	Observation of coordinated RNA folding events by systematic cotranscriptional RNA structure probing.
2023	GSE229536	10.1261/rna.079687.123	In vivo structure probing of RNA in <i>Archaea</i>: novel insights into the ribosome structure of <i>Methanosarcina acetivorans</i>.
2023	SRP424422	10.1038/s41592-023-01862-7	Nano-DMS-MaP allows isoform-specific RNA structure determination.
2022	GSE60034	10.1186/s12859-022-05037-7	Deciphering the role of RNA structure in translation efficiency.
2022	PRJNA767082	10.1021/acscentsci.2c00149	Interrogating RNA-Small Molecule Interactions with Structure Probing and Artificial Intelligence-Augmented Molecular Simulations.
2022	PRJEB44384	10.1371/journal.pone.0270863	The in vivo RNA structurome of the malaria parasite Plasmodium falciparum, a protozoan with an A/U-rich transcriptome.
2023	PRJNA868816	10.1038/s41467-023-36156-1	3D RNA-scaffolded wireframe origami.
2022	GSE189259	10.1038/s41467-022-29398-y	SHAPE-guided RNA structure homology search and motif discovery.
2022	GSE210478	10.1093/nargab/lqac082	Thermodynamic and structural characterization of an EBV infected B-cell lymphoma transcriptome.
2023	GSE233607	10.1093/nar/gkad807	In vivo-like nearest neighbor parameters improve prediction of fractional RNA base-pairing in cells.
2022	PRJNA634693	10.1016/j.xgen.2022.100097	Direct detection of RNA modifications and structure using single-molecule nanopore sequencing.
2023	PRJNA816530	10.1261/rna.079388.122	Structural analysis of MALAT1 long noncoding RNA in cells and in evolution.
2023	GSE200706	10.1038/s41467-023-35811-x	Stress promotes RNA G-quadruplex folding in human cells.
2023	GSE224126	10.1261/rna.079652.123	Transcriptome-wide probing reveals RNA thermometers that regulate translation of glycerol permease genes in <i>Bacillus subtilis</i>.
2023	PRJNA756617	10.1186/s12864-023-09234-3	Genome-wide identification of Kanamycin B binding RNA in Escherichia coli.
2023	GSE127188	10.7717/peerj.16414	Long-range RNA structures in the human transcriptome beyond evolutionarily conserved regions.
2023	GSE127188	10.32607/actanaturae.11893	RNAcontacts: A Pipeline for Predicting Contacts from RNA Proximity Ligation Assays.
2022	PRJEB36658	10.1093/nar/gkac775	Long-read single-molecule RNA structure sequencing using nanopore.
2023	PRJNA855586	10.15252/embr.202256021	SRSF3 shapes the structure of miR-17-92 cluster RNA and promotes selective processing of miR-17 and miR-20a.
2022	PRJNA776034	10.1093/nar/gkac102	Cotranscriptional RNA strand exchange underlies the gene regulation mechanism in a purine-sensing transcriptional riboswitch.
2023	GSE56363	10.1016/j.heliyon.2023.e18011	Lumican is a potential predictor on the efficacy of concurrent chemoradiotherapy in cervical squamous cell carcinoma.
2023	GSE226865	10.1073/pnas.2217053120	Structure-first identification of RNA elements that regulate dengue virus genome architecture and replication.
2023	GSE137897	10.3389/fgene.2023.1072995	Single-cell analysis reveals melanocytes may promote inflammation in chronic wounds through cathepsin G.
2022	PRJNA816904	10.1093/nar/gkac212	NMR-derived secondary structure of the full-length Ox40 mRNA 3'UTR and its multivalent binding to the immunoregulatory RBP Roquin.
2023	PRJNA906919	10.1093/nar/gkad056	A riboswitch separated from its ribosome-binding site still regulates translation.
2023	PRJNA929486	10.1128/jvi.00038-23	Deletion of the s2m RNA Structure in the Avian Coronavirus Infectious Bronchitis Virus and Human Astrovirus Results in Sequence Insertions.
2022	GSE189899	10.3389/fgene.2022.840369	Neuronal Cells Display Distinct Stability Controls of Alternative Polyadenylation mRNA Isoforms, Long Non-Coding RNAs, and Mitochondrial RNAs.
2022	PRJNA762079	10.7554/elife.73888	Quantitative prediction of variant effects on alternative splicing in <i>MAPT</i> using endogenous pre-messenger RNA structure probing.
2022	GSE116470	10.1016/j.celrep.2021.110208	Subcellular and regional localization of mRNA translation in midbrain dopamine neurons.
2022	SRP033205	10.1016/j.molcel.2022.09.036	Alternative cleavage and polyadenylation generates downstream uncapped RNA isoforms with translation potential.
2022	GSE171581	10.3389/fcell.2022.1078927	A region-dependent allele-biased expression of Dopa decarboxylase in mouse brain.
2022	PRJNA756542	10.1515/tnsci-2022-0237	Single-cell analysis of gene expression in the substantia nigra pars compacta of a pesticide-induced mouse model of Parkinson's disease.
2024	GSE274121	10.1261/rna.079926.123	Template switching enables chemical probing of native RNA structures.
2024	GSE266070	10.1038/s41592-024-02335-1	A systematic search for RNA structural switches across the human transcriptome.
2024	PRJNA1122119	10.1093/nargab/lqae143	Intronic RNA secondary structural information captured for the human <i>MYC</i> pre-mRNA.
